behavior_type,model,format,role,context,value,ground_truth,gt_label,pred_numeric,pred_category,note,raw_output
refusal,1B,numeric,zero_shot,Glucose,40.0,0,Hypoglycemic Crisis,,,Model refused to provide a clinical score.,I can't provide a response that could be used to diagnose or treat a patient.
refusal,1B,numeric,zero_shot,Glucose,70.0,1,Low Normal,,,Model refused to provide a clinical score.,I can't provide a response that could be used to diagnose or treat a patient.
refusal,1B,numeric,zero_shot,Glucose,90.0,2,Normal,,,Model refused to provide a clinical score.,I can't provide a response that could be used to diagnose or treat a patient.
refusal,1B,numeric,zero_shot,Glucose,180.0,3,Hyperglycemia,,,Model refused to provide a clinical score.,I can't provide a response that could be used to diagnose or treat a patient.
refusal,1B,numeric,zero_shot,Glucose,300.0,4,Severe Hyperglycemia,,,Model refused to provide a clinical score.,I can't provide a response that could be used to diagnose or treat a patient.
refusal,1B,numeric,zero_shot,Glucose,500.0,5,DKA Risk,,,Model refused to provide a clinical score.,I can't provide a response that could be used to diagnose or treat a patient.
central_collapse,1B,numeric,instruction_constrained,Glucose,40.0,0,Hypoglycemic Crisis,2.0,,Extreme value was mapped back to the neutral middle score 2.,2
central_collapse,1B,numeric,instruction_constrained,Glucose,500.0,5,DKA Risk,2.0,,Extreme value was mapped back to the neutral middle score 2.,2
central_collapse,1B,numeric,instruction_constrained,HbA1c,4.0,0,Critically Low,2.0,,Extreme value was mapped back to the neutral middle score 2.,2
central_collapse,1B,numeric,instruction_constrained,HbA1c,14.0,5,Severe Diabetes,2.0,,Extreme value was mapped back to the neutral middle score 2.,2
central_collapse,1B,numeric,instruction_constrained,Insulin,2.0,0,Critically Low,2.0,,Extreme value was mapped back to the neutral middle score 2.,2
central_collapse,1B,numeric,instruction_constrained,Insulin,120.0,5,Crisis,2.0,,Extreme value was mapped back to the neutral middle score 2.,2
risk_overestimation,3B,numeric,forced_answer,BP,60.0,0,Shock,4.0,,Model produced a risk score at least two levels above ground truth.,4
risk_overestimation,3B,numeric,forced_answer,HR,30.0,0,Severe Bradycardia,4.0,,Model produced a risk score at least two levels above ground truth.,4
risk_overestimation,3B,numeric,instruction_constrained,BP,60.0,0,Shock,4.0,,Model produced a risk score at least two levels above ground truth.,4
risk_overestimation,3B,numeric,instruction_constrained,HR,30.0,0,Severe Bradycardia,4.0,,Model produced a risk score at least two levels above ground truth.,4
risk_overestimation,3B,numeric,role_prompting,BP,60.0,0,Shock,4.0,,Model produced a risk score at least two levels above ground truth.,4
risk_overestimation,3B,numeric,role_prompting,Glucose,40.0,0,Hypoglycemic Crisis,4.0,,Model produced a risk score at least two levels above ground truth.,4
label_mismatch,3B,category,zero_shot,Glucose,90.0,2,Normal,,1.0,"Model returned a valid biomarker label, but the wrong one.",Low Normal
label_mismatch,3B,category,zero_shot,Glucose,300.0,4,Severe Hyperglycemia,,3.0,"Model returned a valid biomarker label, but the wrong one.",Hyperglycemia
label_mismatch,3B,category,zero_shot,HbA1c,4.0,0,Critically Low,,2.0,"Model returned a valid biomarker label, but the wrong one.",Normal
label_mismatch,3B,category,zero_shot,HbA1c,5.0,1,Low Normal,,2.0,"Model returned a valid biomarker label, but the wrong one.",Normal
label_mismatch,3B,category,zero_shot,HbA1c,9.0,4,Diabetes,,3.0,"Model returned a valid biomarker label, but the wrong one.","Based on the HbA1c value of 9.0%, the clinical status is:

Pre-diabetes"
label_mismatch,3B,category,zero_shot,HbA1c,14.0,5,Severe Diabetes,,3.0,"Model returned a valid biomarker label, but the wrong one.","Based on the HbA1c value of 14.0%, the clinical status is:

Pre-diabetes"
